product_id,product_name,product_category,summary,keywords,sentiment
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",WirelessUSBAdapters,"The wifi dongle is a simple plug & play device, will start catching available networks right after you plug Easy to use & Portable. Can be connected to Mobile Hotspot and used in PC. Less installation process. Issues occur while installing via CD, which is available along with the product. Support Center is worse, calls  wifi connectivity is a great good result for me. However, some jitter problems did exist. This is perfect The best part about this is that it is very compact in size and very sober and elegant in design. This Software: This is actually good but not great part with the product. It easily supports net speeds upto 300 Connectivity:Please mark its not feet its metres. Multiply metres x 3 to get the distance in Warranty: Its 3 years so I am assured that atleast for 3 years I am tension-","['usb tethering', 'best adapter', 'wifi dongle', 'alternative usb', 'pc internet']",4
B008LN8KDM,Philips GC1920/28 1440-Watt Non-Stick Soleplate Steam Iron,SteamIrons," Philips a trust worthy product. Very easy to use and light weight iron Great product. Has many features. But Using it for a month. So far it is working well. Heats up quickly, like the quality of","['iron great', 'steam functions', 'product steam', 'good philips', 'steam spray']",5
B008P7IF02,Morphy Richards New Europa 800-Watt Espresso and Cappuccino 4-Cup Coffee Maker (Black),EspressoMachines,"This machine can easily brew coffee for a family of 4-6 members at a time. Some people asked whether Never use dishwash gel or soaps to wash carafe, puck or anything such. Don't run it 3. Before changing over to drip mode, open the steam valve and check if sufficient pressure is built. 4 Mix the milk and decoction in a tumbler which is slightly larger than the level of milk. For the price it's good and build quality is Moderate. Don't use Aeropress, V60 or Always rinse the drip tray. Use 10% dish washing liquid with 90% water to clean the carafe. Make sure that you clean the internals of the carafe. Run water over it forcefully to loosen the grounds Always let the steam out. When you froth milk, immediately wipe off the residual milk with a lint The STEAM KNOB is the WORST part of this MACHINE. NE BROKE. The For the best results, you must grind the coffee on your own. If you can't make sure the coffee Always tamp your ground in the filter. You must apply about 30 pounds of force. This is about 13 kg Coffee machine produced about 4 mm crema for a double shot. This is good for a steam driven An espresso must have three layers. A bitter crema, a sweet middle and a nutty acidic bottom. Frothing tool is very good... though i prefer black coffee, frothing helps getting a perfect creamy coffee Very happy with the machine, works fine and easy to operate. Unfortunately it wasn't packed very well buy the Coffee maker delivered without Warranty Card & Instruction manual.","['brew coffee', 'making coffee', 'coffee brewing', 'using coffee', 'ruin coffee']",4
B008QS9J6Y,"Logitech C270 Digital HD Webcam with Widescreen HD Video Calling, HD Light Correction, Noise-Reducing Mic, for Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/MacBook/Tablet - (Black, HD 720p/30fps)",Webcams,"Best buy for students and working professionals, but don't consider it for buying if you are into content creation and Inbuilt mic quality is nice and noise cancellation working fine. The cam's design is streamlined and sophisticated, and A Lenovo 300 FHD webcam with a ""wide-angle"" vision and stronger mics makes more sense if The camera offers a regular mode and a wide angle option. The Universal Clip prevents the robust cam from toppling The webcam's microphone. Does the job. on the webcam.","['camera offers', 'phone webcam', 'webcam', 'webcam pros', 'droidcam']",4
B008QTK47Q,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),SteamIrons,"The power cord has developed twists beyond repair and the seperate cores are now visible. The iron however is performing Recently, my previous Bajaj make dry iron, which I received as a gift from somewhere, started giving Hence, my search for a reputed brand make , best value for money device began. Being from Electrical As the steam loosens the individual fibres of the clothes, the steam iron's pressing action smooths out Our product comes with a two year global warranty which is quite decent in my opinion. A brand which has been The steam burst feature comes in handy. Users can push a button to receive a burst of steam when needed. The Philips GC1905 comes with a variable setting for steam output with a continuous delivery of up to 17 grams It can provide steam burst too for stubborn wrinkles. Vertical steam feature is not available though. Going for more power demands must be backed up with careful examination as to whether you  need that much heating if More power  doesn't always mean  quick heating as heating of the sole plate depends upon a number of factors The cord length is around 1.8 meters which is good enough for any practical lengths. The cord is bra Cable only comes with 180 degrees of swivel movement, which is quite disappointing. The thermostat The thermostat is the heart and soul of modern day irons and must be highly durable and reliable. Teflon coated plates are easy to get scratched and gather dirt over a period of time. American Heritage is When  ironing on synthetics and fabrics blended with spandex, a ceramic iron will suit your needs The soleplate in our device is decent gliding but not the best gliding, Its heavy but doesn't 6.) FEATURES LIKE ANTI DRIP  ANTI-CALC, GRIP:xxxxxxxxxxxxxxxx If you use proper water, drain it out timely , Do not fully fill the tank , allow it to heat Even though I did not have any preset price tag in my mind but still going over 2500 would have definitely felt This iron is a complete package of all the individual features clubbed together in a decent right-performing way. Cloth iron vs. cloth iron.","['cable iron', 'durable cable', 'cable damage', 'insulating cable', 'plug iron']",3
B008YW3CYM,USHA EI 1602 1000 W Lightweight Dry Iron with Non-Stick Soleplate (Multi-colour),DryIrons,"Good product for basic dry ironing and a must have for every house-hold. Temperature ccontrol is not Good Product in this price range. However, I recevied a bit damaged product at the handle. Th","['dry ironing', 'ironing better', 'ironing house', 'ironing', 'product handle']",4
B008YW8M0G,"Bajaj DX-7 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",DryIrons,"I am used to Phillips for so long now, but the plate coating was gone,  causing damage, stains Product is good but price is much greater It's good.. Nice product. d in budget","['compared phillips', 'phillips good', 'used phillips', 'phillips pressing', 'reviews brand']",3
B00935MD1C,"Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans - 1.8 Liters, White",Rice&PastaCookers,We are using it for cooking rice Its getting repair regularly Recently I buy new rice cooker it is average Excellent product,"['rice cooker', 'cooking rice', 'cooker', 'new rice', 'cooker average']",4
B00935MGHS,"Prestige PSMFB 800 Watt Sandwich Toaster with Fixed Plates, Black",SandwichMakers,"Easy to use, easy to clean, there is no timer or power button to set timer or to on and Overall ok ok product When auto close system doesn't work than there is no use of this product. Like the","['timer toaster', 'toaster good', 'clean timer', 'toaster', 'timer']",3
B009DA69W6,KENT Gold Optima Gravity Water Purifier (11016) | UF Technology Based | Non-Electric & Chemical Free | Counter Top | 10L Storage | White,WaterFilters&Purifiers,The filteration speed is slow. Installation is a bit tricky but can be done. This varient is fit,"['water filter', 'filter overall', 'filter small', 'easy install', 'product filter']",3
B009LJ2BXA,"Hp Wired On Ear Headphones With Mic With 3.5 Mm Drivers, In-Built Noise Cancelling, Foldable And Adjustable For Laptop/Pc/Office/Home/ 1 Year Warranty (B4B09Pa)",PCHeadsets,"No volume control or on/off button, comfortable to wear but not designed for comfort, clear sound, and Build quality and sound quality was good I bought it in october month but now is not wprking properly","['sound quality', 'quality sound', 'hp product', 'hp', 'home headphone']",3
B009P2L7CO,"Bajaj DHX-9 1000W Heavy Weight Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, Ivory",DryIrons,Two times works fine even after 4 months as of now going good. Good product. Weight is reduced a bit,"['product weight', 'product deliveredtwo', 'good product', 'damage product', 'weight reduced']",3
B009P2LIL4,"Bajaj Majesty RX10 2000 Watts Heat Convector Room Heater (White, ISI Approved)",HeatConvectors,"Using after only 2 months, the front part of this bajaj rx10, room heater melt starting This Heater is good for a room with 10X10 ft dimension. The best part is 2 years warranty","['plastic', 'plastic cool', 'vertically plastic', 'plastic stool', 'heating']",2
B009P2LITG,"Bajaj Majesty RX11 2000 Watts Heat Convector Room Heater (White, ISI Approved)",ElectricHeaters,"The procduct is handy and light weight. Also you can use ti in bed easily. It's light weight ""I'm loving it. very penny. Hope its longevity is good. Good""","['available regulator', 'regulator', 'adjustment heat', 'fan speed', 'regulator available']",4
B009P2LK08,"Bajaj Minor 1000 Watts Radiant Room Heater (Steel, ISI Approved)",ElectricHeaters,"Good product Less heating according to the price. Works well, has been using it from a month for Bangalore like There is no temp control as it is not needed for 1000watt heaters. Doesnt get too much","['heaters amazon', '1000watt heaters', 'room heaters', 'heaters', 'heaters acha']",4
B009P2LK80,"Bajaj Deluxe 2000 Watts Halogen Room Heater (Steel, ISI Approved), Multicolor",HalogenHeaters,"Product is very nice. But it has bigger socket plug which is not easly available in all the corners. Current was passing through its entire body, be it the front grill or the area near the handle in the back Homes with children needs to be extra protective. lug it from the power source first. Otherwise it can be Bajaj customer care number is given in pamphlet. ater one rod is not working then i call the","['bad heater', 'heater provides', 'heater', 'heaters requested', 'heaters']",3
B009UORDX4,"Philips Hi113 1000-Watt Plastic Body Ptfe Coating Dry Iron, Pack of 1",DryIrons,today is last day. Overall good quality product. I trust the Philips iron and this has delivered as expected.,"['philips iron', 'heat speed', 'iron delivered', 'trust philips', 'overall good']",5
B009VCGPSY,"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces (H2C21AA, Black/Grey)",Mice,"The mouse is decent for its price of 269. The size is a bit smaller so it will take time to This is a nice product in low cost. Given price, Better one definitely. Value for money.","['mouse decent', 'debian based', 'mouse handy', 'small mouse', 'mouse']",3
B00A0VCJPI,"TP-Link TL-WA850RE Single_Band 300Mbps RJ45 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with 1 Ethernet Port, Plug and Play, Built-in Access Point Mode, White",Repeaters&Extenders,The wi-fi signal strength is good as extender but it reduces internet speed. Look and feel is good This device will supply only 2.4 ghz that means 5ghz will not be available in your room Product is ok but it's only for 2.4ghz mistakenly got it.  satisfactory service Working fine,"['india device', '5ghz available', 'dual band', 'supply ghzthat', '5ghz']",4
B00A328ENA,"Panasonic SR-WA22H (E) Automatic Rice Cooker, Apple Green, 2.2 Liters",Rice&PastaCookers,"Extremely functional, excellent quality, easy to maintain, clean. Takes little space. Good Adequate and Great product...Go for it. Only single rice bowl comes with this product Good Nice to use , go and","['rice cooker', 'rice maker', 'cooker especially', 'rice bowl', 'single rice']",5
B00A7PLVU6,Orpat HHB-100E WOB 250-Watt Hand Blender (White),HandBlenders,Speed is gud nd easy to handle Very useful Quality is okay for this price. Ok Good product Nice,"['speed gud', 'speed', 'useful quality', 'quality', 'nd easy']",4
B00ABMASXG,"Bajaj Immersion Rod Water Heater 1500 Watts, Silver",ImmersionRods,"The plug is not supported in the sockets which is used in our houses. Need to buy another socket of 16 Product is good, wire lenth and cord lenth are enough. Super easy to use but packing shi","['heater immersed', 'warm bucket', 'water getting', 'heater', 'bucket water']",3
B00AXHBBXU,"Casio FX-82MS 2nd Gen Non-Programmable Scientific Calculator, 240 Functions and 2-line Display, Black",Scientific,Good I use this to solve my numericals and its good. Excellent tool for kids in learning A quality product,"['numericals good', 'numericals', 'excellent tool', 'solve numericals', 'good use']",5
B00B3VFJY2,"HUL Pureit Germkill kit for Advanced 23 L water purifier - 3000 L Capacity, Sand, Multicolour",WaterPurifierAccessories,For replacing battery of Purit 23 advanced water purifier. Got what i required. Good Very good I like,"['battery purit', 'replacing battery', 'water purifier', 'battery', 'purifier']",5
B00B7GKXMG,Wipro Smartlife Super Deluxe Dry Iron- 1000W,DryIrons,Light weight easy to use but is not worth for the value. Very good product Good Very good quality Easy to,"['light weight', 'weight easy', 'easy use', 'weight', 'use worth']",4
B00BN5SNF0,"ENVIE® (AA10004PLNi-CD) AA Rechargeable Batteries, Low Self Discharge, AA 1000mAh Ni-CD (Pack of 4)",RechargeableBatteries,"Battery rates are ok, delivery is extra Rs 40, total Rs 290 had to be paid Charging does not 1.2 v. hanging once only it's ok 1.2.1 v please check when buying 1","['battery rates', 'rates ok', 'rs 290', 'clock battery', 'charging month']",3
B00C3GBCIS,GIZGA Club-laptop Neoprene Reversible for 15.6-inches Laptop Sleeve - Black-Red,LaptopSleeves&Slipcases,Measures are 11.2 to 15.6 inch. The stitching is very ordinary and it looks bad on It works well prevents from dust undoubtedly one should go for it Product looks good Big size want small size.,"['laptop material', 'perfectly laptop', 'inch laptop', 'laptop', 'laptop smaller']",3
B00CEQEGPI,"Logitech MK270r USB Wireless Keyboard and Mouse Set for Windows, 2.4 GHz Wireless, Spill-resistant Design, 8 Multimedia & Shortcut Keys, 2-Year Battery Life, PC/Laptop- Black",Keyboard&MouseSets,"Product was delivered promptly but the packaging was in rough shape. When I unpacke the keyboard wasn't affected The keyboard had three missing keys (iirc it was left Alt, Z and the Windows keys). I turned I absolutely love the keyboard. I was expecting it to feel wonky and cheap but it actually feels decent. The keyboard works fine with Windows 11. The Caps Lock key has a little raised bit to it so you can The mouse, on the other hand (no pun intended), is mediocre at best. The build quality is no The mouse feels like it's gonna fall apart at any time. The lag only lasts a couple of seconds but As an overall package, I would say it's decent for the price. licks feel smooth even after a Not recommended for - gaming or any form of power users. The mouse simply isn't up to task. The Currently, I use logitech m590 mouse which is really awesome and makes almost no noise at all. Er After 2years, some random keys have stopped working, such Del, Semicolon, Numpad- If you're looking for a longer size keyboard for approx. 2years of proper functioning for daily or official use","['keyboard expecting', 'unpacked keyboard', 'keyboard missing', 'laptop keyboard', 'keyboard sufficient']",3
B00DJ5N9VK,Faber-Castell Connector Pen Set - Pack of 25 (Assorted),ColouringPens&Markers,"The color options are neatly wide, and I like it. Torn packing is a drawback. The best part about these are that they can connect so they are easy to carry them. Good buy for the","['color pen', 'pen set', 'pens fine', 'help pens', 'pens used']",4
B00E3DVQFS,"Duracell Rechargeable AA 2500mAh Batteries, 4 Pcs",DisposableBatteries,"Each cell running long, fast charging.. Newly purchased, Giving good backup Thanks. Good product but seller don't send me product bill, then how to claim my guarantyee this product.","['duracell battery', 'batteries wont', 'battery delivered', 'batteries', 'fit camera']",3
B00E9G8KOY,HUL Pureit Germkill kit for Classic 23 L water purifier - 1500 L Capacity,WaterPurifierAccessories,The battery was not fitting. This time the filters have some change in design and filter the water faster. I,"['battery fitting', 'filter water', 'battery', 'filters change', 'water faster']",2
B00EDJJ7FS,Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black),InductionCooktop,"Nice heating. But hard to clean as it has ridges and small gap between the hot plate and the controls I was used to normal gas and it was easy to regulate to propper temperature. This product has only like The pan is very good and has induction area over whole bottom so I'm sure the fault is in this phil There is one positive side and that is that heating is quick. My pressure cooker star whistling quite quickly. It is much nicer compared to gas stove where you would need to turn off, light up again and then find 'Stirr fry' button and it set 180C. It totally burns onion... I set usually 180 Pretend temperatures are useless when you want to change temperature. You need to first press ""manual"" Another control is setting time. I must say satting time is useful feature and I love it, but how It is doable but pretty annoying. What is super idiotic is that when I want to add 5 minutes Time setting mode is automatically left and it will let you change temperatures again. When controlling  stupidity is burning my Product is quite durable and material quality looks good. Power cable is only like 1.2 meters.... That might Good but service center problem not available nearly. No1 trouble heating oil Ordered 3 one was faulty.","['issue stove', 'trouble heating', 'stove heat', '130c frying', 'pan heat']",3
B00EYW1U68,TP-Link TL-WA855RE 300 Mbps Wi-Fi Range Extender (White),Repeaters&Extenders,"Value for money (bought it for around 1300/- on sale), quick & easy to install & good coverage Setting it up was a breeze but I faced a silly self-inflicted issue. I entered wrong WiFi password Extender can reach a corner of the house about 45ft away from the router where I get sporadic and weak Laptop recorded a speed of 30MBPS when connected to the router. 15 feet away from the extender Extended my wifi signals and does it job very effectively. Once concern is i have 5g actfiber","['wifi good', 'bought wifi', 'extender router', 'setup setup', 'router laptop']",4
B00F159RIK,"Bajaj DX-2 600W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, Black",DryIrons,"Product is good working completely safe to use it, but the size is small. Its look very good quick heating","['heating build', 'pouwer good', 'quick heating', 'fast heating', 'product good']",4
B00GE55L22,"Storite USB 3.0 Cable A to Micro B high Speed Upto 5 Gbps Data Transfer Cable for Portable External Hard Drive - (20cm), Black",USBCables,Cable length is very small like 6 cm but transfer speed is good 70 to 90 mb/s.,"['hdd slowed', 'transfer speed', 'hdd slowing', 'cable length', 'good cable']",4
B00GG59HU2,"BlueRigger High Speed HDMI Cable with Ethernet - Supports 3D, 4K 60Hz and Audio Return - Latest Version (3 Feet / 0.9 Meter)",HDMICables,Perfect hdmi cable for boat soundbar and lg smart tv This product is overpriced Value for money,"['hdmi cable', 'perfect hdmi', 'smart tv', 'hdmi', 'soundbar lg']",5
B00GGGOYEK,Storite USB 2.0 A to Mini 5 pin B Cable for External HDDS/Camera/Card Readers 35cm,USBCables,Product is good but the length of the wire is short. Not proper very good I wasn't expecting good quality,"['length wire', 'wire', 'wire short', 'quality material', 'saitechit']",3
B00GGGOYEU,Storite USB 2.0 A to Mini 5 pin B Cable for External HDDS/Camera/Card Readers (150cm - 1.5M),USBCables,"The cable is too rigid, so there is movement on the USB connector point when inserting or removing device from the Very good product - too long-durable-good retro device. le nothing much to expect.","['cable usb', 'usb connector', 'cable good', 'movement usb', 'usb']",3
B00GHL8VP2,"USHA 1212 PTC with Adjustable Thermostat Fan Heater (Black/Brown, 1500-Watts).",ElectricHeaters,This is good for heating your personal self and you will need to sit next to it. Over 1-2 It is not able to hear my small sized room . I think you should go for rod heating heater. Do,"['cost effective', 'good heating', 'heating heater', 'heating personal', 'heat room']",3
B00GZLB57U,"Quantum RJ45 Ethernet Patch Cable/LAN Router Cable with Heavy Duty Gold Plated Connectors Supports Hi-Speed Gigabit Upto 1000Mbps, Waterproof and Durable,1-Year Warranty-32.8 Feet (10 Meters)(White)",EthernetCables,"Good quality product works well. Reasonable price, good quality. wao wao super speed fast asf","['quality wire', 'wire good', 'wire', 'quality wao', 'using weeks']",5
B00H0B29DI,USHA Heat Convector 812 T 2000-Watt with Instant Heating Feature (Black),HeatConvectors,"It was working fine for 18 days. After around half an hour of running it suddenly started making 'khad I lodged a complaint with Usha customer care, na di was told the technician will visit within 48hrs The plastic coupler to which the fan was screwed, is not able to hold the screw tightly. What kind The next day, he said part is not available and has informed the company, but can't say when it This is a worst after sale service from big brand like Usha, and it was not expected from Usha From now on, I will never recommend Usha to anyone, and if any Usha representative is reading this","['usha heater', 'heater working', 'getting heated', 'heater asap', 'heater got']",1
B00H3H03Q4,HUL Pureit Germkill kit for Classic 23 L water purifier - 3000 L Capacity,WaterCartridges,"I have received the product with broken seal. Otherwise purchase is ok. Nice product, value of money Nice I","['broken seal', 'seal purchase', 'product broken', 'seal', 'purchase ok']",3
B00H47GVGY,"USHA Quartz Room Heater with Overheating Protection (3002, Ivory, 800 Watts)",ElectricHeaters,Good product for tight spaces and easy to replace as well. One of the filaments lasted about 7 days of,"['filaments lasted', 'replace filaments', 'good heating', 'filaments', 'heating']",4
B00HVXS7WC,"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White",MixerGrinders,Very irritating noise. Not able to plug JN sockets just because it has 2 pin plug Packing is too,"['jn sockets', 'plug jn', 'sockets', 'jn', 'mixer']",1
B00HZIOGXW,Crompton IHL 152 1500-Watt Immersion Water Heater with Copper Heating Element (Black),ImmersionRods,"I have purchased two of them, had to pay Rs. 650 per piece, I checked the price in local  plug not suitable for normal swich board in india need adapter for that. at is only the drawback.","['power socket', 'normal socket', 'socket need', 'sized socket', 'socket']",3
B00J4YG0PC,"Classmate Long Notebook - 140 Pages, Single Line, 297mm x 210mm (Pack of 12)",CompositionNotebooks,Good quality copy pages are soft and bright. Value for money and outer cover is very lovely and Good to use . od quality paper I will surely purchase again.,"['notebook quality', 'book good', 'love notebook', 'quality paper', 'books value']",5
B00J5DYCCA,Havells Ventil Air DSP 230mm Exhaust Fan (Pista Green),ExhaustFans,Fan speed is very slow could have been faster but not it is slow. Connecting wire is too short.,"['fan speed', 'exhaust good', 'installed kitchen', 'does exhaust', 'exhaust smoke']",2
B00JBNZPFM,"Karcher WD3 EU Wet and Dry Vacuum Cleaner, 1000 Watts Powerful Suction, 17 L Capacity, Blower Function, Easy Filter Removal for Home and Garden Cleaning  (Yellow/Black)",Wet-DryVacuums,"Product is OK, but huge noise irritatate use the product Liked the blower function and also the Suction is by far the best I have seen among all Vacuum Cleaners. Sound is a bot high","['cleaners blower', 'best vacuum', 'vacuum cleaners', 'vacuum', 'product suction']",3
B00K32PEW4,"Casio MJ-120D 150 Steps Check and Correct Desktop Calculator with Tax Keys, Black",Financial&Business,The product is genuine onky Super product Very good Very average product No issue with the product. Standard calculator.,"['standard calculator', '12digit calculator', 'calculator', 'calculator excellent', '12digit']",5
B00K57MR22,"Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)",MixerGrinders,Best mixer as compared to flimsy  350w 750w. We use daily since last 4 yrs grinding Only drawback is it doesn't have Auto cut-off function. Otherwise mixi works REALLY GREAT. Best in,"['best mixer', 'mixer grinders', 'mixer compared', 'compared mixer', 'mixer']",4
B00KIDSU8S,Havells Ventil Air DX 200mm Exhaust Fan (White),ExhaustFans,The shape does not fit where i want to get it installed. Can i get it exchanged or returned please?,"['faced sound', 'want round', 'sound normal', 'low noise', 'low suction']",1
B00KIE28X0,"Camel Artist Acrylic Color Box - 9ml Tubes, 12 Shades",Paints,My daughter liked these acrylic paint tunes. They r super  good..Love them Nice Nice.,"['paint tunes', 'tunes nice', 'acrylic paint', 'liked acrylic', 'nice colors']",5
B00KRCBA6E,Maharaja Whiteline Lava Neo 1200-Watts Halogen Heater (White and Red),RoomHeaters,"How to Buy separate lights. Amazon delivery is super, i am used One month  Two lights are gone, Maharaja is a cheater company. They are saying that rod is not under warranty. Only Box is This is a good product for a 15x15 ft room @1200W. face. Otherwise this is a","['base heater', 'metallic heater', 'separate lights', 'rod warranty', 'room heater']",3
