review_content,Sentiment
"(Pictures attached)Size/Design:  ★ ★ ★ ★ ★Build Quality: ★ ★ ★ ★ ★Packaging:  ★ ★ ★ ★ ★Software:  ★ ★ ★ ★Speed:  ★ ★ ★ ★ ★Connectivity:  ★ ★ ★ ★ ★Experience:  ★ ★ ★ ★ ★Warranty:  ★ ★ ★ ★ ★Size and Design:The best part about this is that it is very compact in size and very sober and elegant in design. This is a big plus as it is easy plug in and use, add to it the good sober design.Build Quality:The build quality is undoubtedly superb. Just no qualms about that, at all. When held, it doesnt give off that cheap and flimsy product-like feeling. It is good sturdy with its build quality.Packaging:This part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation. This ensures that I as a customer have received something not damaged internally already.Software:This is actually good but not great part with the product.The good part is that a CD has been provided with it along with a manual.The not great part is that NO LINUX SUPPORT has been given from Version 2 onwards. This is bad, really.Speed:It easily supports net speeds upto 300 Mbps. Practically speaking, I have tested it at my home and it easily supports net speed of over 100-150 Mbps without a sigh.On testing I found that it did connect to 5GHz network, without any issue.Connectivity:Please mark its not feet its metres. Multiply metres x 3 to get the distance in feet.It easily connects to my laptop or phone from 7 metres across one room. So thats 21 feet. I mean even our old bluetooth used to connect to about 15 ft.So 20-25 feet is not at all an issue with this. This is the big plus I found with the product.Experience:From this point of view, so far except the linux non-compatibility issue, I found no other flaws with this product.So overall its a great product.Warranty:Its 3 years so I am assured that atleast for 3 years I am tension-free and not just 1 year, contrary to most electronic items today that only provide 1 year warranty with their items.",4
Best adapter I have bought ever. Works nicely seemless connectivity,5
I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,5
It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,4
"Good, working fine",4
Product quality is good,4
Good,4
very good,5
"Bought for my daughter's old phone.Brand new cable it was not charging, I already repacked and requested for replacement.I checked again, and there was some green colour paste/fungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor, they might have stored in very humid place.",3
The cable is efficient in fast charging but in quick data transfer. Overall fine.,4
I like the usb c  L shape. Nylon Shielded core wire it improves the life of the cable.,5
i think i buy these every 6 months or so. fast charging stops working after a while. probbly something to do with the cable design. the cable gets twisted over time and I suspect that breaks the high capacity wires inside. but i keep buying it because there arent too many options in an L shaped design,2
"Good and durable product. Sometime the charges doesn't work on few adapters. there might be few cut off or something but works fine on apple adapter, Car charger, USB",4
The product is really good at affordable price.,5
"Good and fast charging, and value for money",5
பொருள் உடைய கடினத்தன்மையின் நன்றாக உள்ளது சார்ஜ் ஏறும் வேகம் 15wat,4
Not a fast charger.  Very slow charging with 65w.  L-shape pin is very useful.,2
Good product,4
long wire,4
Charges good,4
Nice,4
"I bought this cable for Rs.339 worthy product for this price, i tested it in various charger adapters 33w and 18w it supports fast charging as well.",5
Good,4
Ok,3
I had got this at good price on sale on Amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days only.,2
I like this product,5
I am using it for 14 days now. The experience is pretty good as of now. Picture quality is also not bad. Don't expect something out of the world at this price point. But you can go for it if you have a tight budget.,4
"Initial impressions: works as said, glad I didn’t go for cheaper options (not that it’s too costly) just plug and play. Will update if it screws up",4
The hdmi cable is good to watch movie,4
Works as expected. Length of the cable is short and it was mentioned also satisfied my requirement. If you need more length better look other options.,4
All good,5
It's the best HDMI cable at this price range. No problems yet. Just go for it !!,5
I was expecting this to be delivered on time and it was delivered on time.Product is good as i have tried other cables and wires from Amazon basica brand.,4
Good one,4
Definitely isn’t as good as the original cord but works. Fast charging and pretty sturdy,4
Worth it,4
"So I had a faulty cable. I was lazy and have a lot of money so instead of calling Apple I bought this for like 300 bucks. Didn’t expected much but for my surprise, this cable actually works and has fast charging. JUST GO FOR IT",5
"Felt quite sturdy, the connectors look premium and were easy to insert. I used this cable to switch all my data from iphone 7 to an m30s. Cable worked like charm while using smart switch app, all my data including whatsapp data was transferred successfully. Satisfied with performance.",5
Just good,4
Quality is very goodWorking smoothly.. using same portronics pd charger,5
This is a real fast charging cable that is serving the purpose,5
Very good,5
Loosing charging cable of apple is costly affair. This wire was great purchase made to correct it,5
"Worked well for six months that’s it, now it’s stopped working, now planning to buy one more because the price has come down to 150",1
Very good product. Compatible with  iPad 2nd generation  and charging very well. Quality of the product is very good and also works fine. Totally worth for its price.,5
Product is super,5
I'm using from last 6 month. Till now it was good functioning. Now I noticed phone gets disconnected at multiple occasions. might be cable may be damaged.Overall worked well for 6 month.,3
Takes 5-6 hours to charge full.,5
Good item. Value,4
It is the best product I have used till now.,5
Best charging power . I used this cable on note 8 pro mi. Using 8month also fast working.,5
350 might be a little expensive but physically it’s so good. Feels premium. But power limitation is there it is not suitable for fast charging.,4
Best data cable charging fast,5
Very good quality and good durability,5
Overall good but need some improvement...,3
Pros- xiomi 5a is best in budget-Nice picture quality-Very nice audio output- Full of featureCONS- sometimes tv lags-Sometimes stucksIn this prize range all tv having cons like this.::Overall nice tv,4
The product in this price range is good but as it is running in Android 12 it lags. I hope after few updates the lags problem will be resolved,3
Useless product and useless quality. Display issues within 7 months and service center is not upto the mark. Go for better brands where quality is assured. I would wish if there was option of negative stars.,1
Uses as connectes TV the picture is very good. I was hopping a best level of song. Globaly it is a good product.,4
Greater then ever,5
Good quality,5
I ordered this cable to connect my phone to Android Auto of car. The cable is really strong and the connection ports are really well made. I already has a Micro USB cable from Ambrane and it's still in good shape. I connected my phone to the car using the cable and it got connected well and no issues. I also connected it to the charging port and yes it has Fast Charging support.,5
It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,4
"Good, working fine",4
Product quality is good,4
Good,4
very good,5
"Bought for my daughter's old phone.Brand new cable it was not charging, I already repacked and requested for replacement.I checked again, and there was some green colour paste/fungus inside the micro USB connector. I cleaned with an alcoholic and starts working again.Checked the ampere of charging speed got around 1400ma-1500ma - not bad, came with braided 1.5m long cable, pretty impressive for the price.Can't blame the manufacturer.But quality issues by the distributor, they might have stored in very humid place.",3
Check for offera before buying,1
18w charging cable,5
Good,4
Charging is very slow. Forget about fast charging. Not useful at all,1
Cable is not fit properly on my samsung galaxy m31 type C port. If little hit happens then cable is plug it out. Otherwise length and cable quality is very nice,3
"Boat type C cable doesn't support fast charging on Oppo F15, earlier i was using Vooc cable, which worked excellent",2
"LG was always Good , correct delivery, good service but sound quality was poor. The speakers were fitted below the tv. No clear sound. That was the only problem.",3
Good videoGood vice,4
Picture quality is awesome.,5
Good at that price,4
"Okay product, the OS has lags after about a year of use. This is the best you can get for the price tag it comes with.",3
I like it,4
"Best one when it comes to bugdet, easy installation and handy features.",5
Good,4
I trust this product! Works well with car play!,5
Very good quality and charging is fine. As good as original,5
Gr8 product overall,5
"Just loved it, very good charging speed.",5
Good quality,5
"it well packed, all sealed coveredthe wire looks of a very good qualityrecommended!!!!",5
This connector has provided as a boon for my old Samsung LCD monitor and I am proactively using that monitor as the 2nd screen just if the finishing of the product can be improved then it would be a better purchase option.,5
Save it purpose well without any issue. I am satisfied,4
Working fine,4
GO FOR IT,5
It’s works properly good product but poor quality,3
I buy this product after so many reviews. this product is not so much clear. But it get the job done. you can buy to get display only. not so much clear. but still price is very good compare to other products.,4
Good,4
"It worked really well for 3-4 months but now it started showing its ""cheap chinese"" side. Display keeps disconnecting randomly and will come back. It's a headache to read/work on external monitor now since it keeps disconnecting the external monitor and then reconnects it.",2
Overall good.,4
TV picture ok smart betterSound very low another brand,3
"Service provider refuse install my TV, bad service and samsung, I am calling 3 times service provider. Not meet my home address.why ? Bad bad",1
They product did not come with the support stand or wall hanging hook to install the Tv,1
Picture quality is very poor in cables,2
Floor stand does not come with it ... You have to buy it seperately. Request Amazon to cleary mention it in the add . You will have to pay seperate charges for the installation guy to buy the floor mount .,1
Good,4
Worked on iPhone 7 and didn’t work on iPhone XR,1
"Look-wise, I didn’t like it. Still, I use it for my work.",3
Product is quite good and is fast charging.Loved it.,5
I like it . Looks last long.,4
The sturdiness will depend on the manner of its use. But its speed of charging is great. Very good product for the average income group.,4
It's great for charging devices with various types of ports. But works best when charging one device at a time.,4
Good item.,4
"About the TV - Wonderful---------------------------------------------------------------Probably the best TV in this price range (INR13000).Good - Google interface, loaded with features, lightweight, 55 watt power consumption, stable designAverage - Sound and Picture quality is quite good but if you compare it with premium brands then obviously not that good.Features- Most of the streaming apps available and compatible- You can connect with WiFi, LAN Cable, HDMI, Set top box, Laptop, USB, Gaming console, Old dish cable, and direct TV antenna as well- Built in chromecast to cast any compatible app directly from phone to TV over same WiFi networkWays to connect phone -1. Via cast feature on mobile apps - no password needed only need to be on the same WiFi network2. Via chromecast app - project only selected media (pics, videos) or entire phone screenWays to connect PC/Laptop -1. Windows cast option - project the entire laptop screen on TV using windows cast option ( need to be connected on same WiFi network2. Via HDMI cableAbout the Amazon installation service - Awful-------------------------------------------------------1. The technician brought a cheap hanging hook that had MRP INR116 on it and asked for INR499 for it without any receipt. He kept telling that it was not for sale and company had sent this specially. However, it clearly had MRP mentioned on it2. I went to market and bought a much better cabinet for just INR200 and for installation of that as well, technician was really adamant to drill the two required holes on top. He just drilled one on top and one on bottom and kept all the other spare screws ( which I had bought ) with him. After about half an hour of arguments, he finally drilled the other required holes. And for all this, he kept cussing me that I wasted his time. There was no assistance from the person who represented the service agency as well.This whole process took me two hours to complete that too with lots of arguments. This was the worst installation experience in my life so far.Bottomline - Please do not avail the 'so called free' installation service from Amazon. It is just a scam. Instead call the acer support. They will do the job much better.",4
"After using it for 2 months, here are it's pros and cons:Pros :1. Great picture quality. It's awesome.2. Blacks are very good and is adjustable.3. Sound with 30db is very good4. Looks great with thin besel5. Remote comes with favorite OTT buttons.6. Content upscaling is very good.Cons:1. Remote could have been better. Can't use DTH remote to turn on both televisison and set top box.2. Remote operation is bit complex.3. Motion technology not great. There is a noticeable blur when watching moving ballson OTT, but it decreases when you switch to DTH.Overall, it's a nice buy at this price point. I think I am getting fairly better picture quality and sound. I am satisfied with the product.",3
Product has good picture quality. Good product at that price with 25w sound. Applications running smoothly. 3 months older & no issues yet. It's running smoothly.,5
You get decent features for the price you pay. Screen resolution might be. Set back as you may find pixalation. Overall it's good,3
"I am amazed with the picture quality of this 720p (HD Ready) TV. It is truly an amazing panel. I found it suitable for a viewing distance of between 6 to 10 feet. Any nearer it may not look very crisp and any farther, it will feel like a very small size. The speakers are also very good for the price and can get very loud without any distortions. However, since the speaker is downward firing, the experience will vary based on whether the TV is wall mounted or kept on a stand.The remote is good, voice search works well for me. TV start up takes a long time in my opinion, but I have not compared it against any other 32 inch TV and hence do not know where it stands among peers.5 GHz Wifi works very well even across walls. Only negative aspect I faced is w.r.t the experience of using my bluetooth headphones/earphones. Firstly, the connection sometimes doesn't happen automatically after a  restart - which means I have to remove and re-discover the device thru the menu which is not simple. Secondly, the signal itself seems to be very weak and even at a distance of 8 feet in front of the TV, the signal breaks even if you move your head by 2-3 inches.However, I am still super happy with this TV. I got it for 8k during the launch offer and it is totally worth it and is recommended from my side.",4
At this price range(₹11499/-)it is good quality product on this market..acer only should work with Sound quality improvement otherwise all ok.Picture quality really impressive,4
wifi connectivity good,4
easy to install,5
boderless screen design is premium and also google voice support is good(sometimes lagging).No major issues found on this TV.Just go for it.,4
Vellu for money. Good product,4
Very nice productSave money,5
The signal is too unstable once connect you need a bit of adjustment by unplugging or moving the wire to get a proper signal. But does the job. Go for this if you want to experiment with HDMI as I wasn't sure it would work for me or not. Otherwise go for a good quality breaded cable.,3
Good product,4
"The cable did not come in a box. There is no box. If this was to be shipped without any packaging or branding, same should have been mentioned. When we pay for hi quality products, we expect a certain quality! I still have no idea if this is a hi speed 4k cable or not.",1
Good,4
Bought to connect my CP monitor (CCTV) to MI android TV.. .. OK quality at this price,4
"I give it a 5 on 5, reasons as below..1. Amazon delivery - Super fast, same day delivery within 4-5 Hours.2. The delivery person was good.3.  Robust Built Quality, looks & feels premium.4. It is working excellent, I'm using for lapptop to big screen TV connectivity, and could see the undistorted picture and sound, nicely doing its work.A few words of cons..1. Feels a little hard to adjust and bend as per requirement, less flexible. But this may not be a serious concern.Overall a nice experience so far.",4
Good job,4
Like.,4
"This OnePlus TV is great if you want a affordable and middle range features TV. I got it in the offer and it was totally worth it.Pros:-1. Sound is awesome - 100% satisfied with the quality of sound. Dolby Audio 20W speakers are really great for sure affordable TV.2. Size and slim - It is slim and looks stylish. Very light weight and handy to install.3. Easy to install and mount to wall.4. Tye software installation and set up is very easy and anyone can do it at home.5. It gets integrated with mobile apps, remote, WiFi networks very quickly and easily.6. The overall sign up process and app installations are quick and automatic.7. It supports all the smart features like Netflix, Prime and YouTube. It is easily installable and sign-in to start using quickly.8. It is also easy to scan the Setup box channels and start viewing them.Cons:-1. Picture quality is 776p. It's average and not very clear. But it is worth the price range. I'll not complaint as the cost of TV is very affordable and this quality is justified.2. Bluetooth and WiFi connection can disconnect sometimes and cause some issues. I encountered this disconnect issue and had to reset complete device and do the complete sign up again.Rest all is very good and loved this product. I feel it was worth ordering. If you are looking something is medium range and only need it for your old parents and don't have extensive smart use then 100% go for this.If you want to use a lot of smart features and OTT platforms and watch movies, and sports then go for better version with full HD and 4K quality. This TV will not give good experience for sports due to less picture quality but it's very good for daily family shows and TV channels.One last thing I want to express and I'm ver disappointed about is this.I got my order delivered on Friday and I scheduled my installation for Saturday. But nobody turned up that day and I had to reschedule it for Tuesday morning, and even today nobody turned up. I got a call from Amazon to reschedule it for Tuesday evening and still, nobody turned up.This is very very bad and irresponsible service by OnePlus and Amazon. I'm very disappointed with the service and highly criticize this behavior. A company should always take care of its customer satisfaction and you have failed in doing this.What do you guys expect us to do? Wait for 5 to 6 days to get my TV installed even when it's been delivered and wait for you guys to come after so many days. Even when I'm having my smart TV delivered to my home, I have to wait and not enjoy it because you guys have not done your job properly.At least keep some decency and respect the customers who are paying a big amount and ordering a big item from your company. You should take care that the money I spent has been worth it and not facing any issues. Highly disappointed with this behavior and service.",5
Good product,4
Connectivity is faster,3
But performance is little bit slower,3
The biggest problem I face is it don't have a aux cable so I'm not able to connect my sound bar......the HDMI port is useless it won't work .so,1
"i connect it via bluetooth but the problem is that it won't connect automatically, everytime I on the tv i need to connect it manually it's a basic feature which is not provided in this tv then another drawback is that it was fast at the beginning now it's been 4 months and it's super laggy .....even after the update its just the same.....yeaa but in this price range the picture quality is outstanding......that's all",2
"Good quality in picture and volume is little bit low other than that product is nice. Budget friendly, I'm happy with this .",4
"After a few days, the TV will perform slowly and the  remote  is very very sentence",2
thank you amazon and oneplus,5
1. Sound is good2. Easy installation3. very Slim and less weight4. Voice recognition is good,4
LikeBudget-friendlyDislikeWiFi connectivity range is poor.Many times gets disconnected.Color depth not that good.,2
The product seems and works good but it's not a fast  charging cable as it has to be and when all the three ports are connected its more slower I'm charging  only good is single cable all three ports are there so its a ok product only if yiu are looking for fast charging then I would say think twice before you buyI have been using foe a while now this is for sure not a fast charging cable and in this tge lightning charger is not working properly every now and then I have to check its it charging my iPhone and I had to unplug and reply for charging its getting disconnected I don't understand how  so this cable is no ok,3
i used this type c most commonly depending on my devices power wats and also etc,5
Nice charger,5
Charging is bit slow when u connect multiple devices.Cannot transfer data.Only Charging purpose.,2
So nice colour cheap and best,5
The cable looks decent with charging. But not fit for me as it does not support Apple car play,3
Fast charging.,5
"Cable seems to be of good quality, not used much as I keep it as backup in my car.",4
"It’s good, sturdy & durable!It supports fast charging!Only thing is it’s a little expensive!",4
Nice product,4
I am writing this review after 10 days usage of this product and I found it very durable and sturdy. It is also good for travelling where you have to keep it in the bags without any kind of box. I would recommend it to all.,5
Best wire type c to lighting connector go buy worth of money,5
Value for money,5
I am happy with product. Quality is good. Durable.,5
One amazing cable for 300 bucks,5
Ok with charging. Looks very sturdy and durable.,4
Fast charging upto 25watts 2m in length and really durable.Bought it like the 4th time passed down my older cables to family members all still in working state.,5
I bought it in 2019 and it almost last three years post heavy usage... Gonna buy it again! Very good quality,5
Good quality USB C Charging cable that enables Fast Charging for Samsung M21 as well as M33 5G 24 W seeking phones. 2 metre cable length helpful in keeping phone on desk while Charging Adaptor plugged into Electric Outlet. Best value. Similar 2 m cable costs 3x or 4x in retail market. This is best price,5
Great product. Wanted this as my Portable battery has USB slot and iPad and Kindle Reader have USB-C ports. Fits my requirement perfectly. Charges very fast.,5
good,4
Very good overall,4
Sufficient length,3
excellent build quality ,5
good alternative to generic cables,4
"Strong cable, the cable ends are nearly like rubber. GOLD coated. Cable is also of high thickness.",5
"Why I bought this ?I have DVR rack, for DVR which is far above the reach limit hence I need a mouse to be connected to the USB port of the DVR which is in the rack above reachAny alternatives?Wireless mouse didn't work well with my particular DVR, had lots of lag,  hence I had to resort to a USB port extender with ample lengthResult :Very sturdy cable able to connect to my DVR and connection is stable .Amazon basics is very reliable.",4
"This cable is good for any device that needs extension over USB 2.0 like printers, TVs, gaming consoles, keyboards etc.The build quality is good. Cable material is soft so it will not break. Connectors are gold plated and will not rust.But remember, this cable will not give USB 3.0 speeds even if you connect it to a USB 3.0 port.",4
"For Usb 2.0 , any usb 3.0 if used will behave as usb 2.0Type: ADirection: female to maleFunction: extension of length of usbBuilt: average  not cloth/fibre braiderLength: as mentionedWorks for all connections: yes [including pc\printer\console pen drive etc ]",3
Product is as per description,5
Good as expected.,4
The cable build quality is good for normal charging its great cable but doesn’t support quick charging,3
Works for charging but other applications are hit or miss.Example my external keyboard doesn't work with it!,3
Best quality and length of wire was qute good and durability also good .,5
Using this cable from past 40 days to charge lg g7thinq and samsung s21fe.  So far super,5
Good,4
Seems durable but there is a problem with the design that the pin is not long enough / base of the pin is too thick that i couldn't insert it into my phone's charging port without removing the case!,3
Over all quality bht achhi hai bs jo braided material use hua hai wo nylon nhi hai cotton type ka hai lekin ₹99 me 1.5m cable k hisaab se bht achhi hai majboot hai or charging bhi thik hai. Maine chapti wali buy ki thi jo photo me dikh rhi hai lekin delever ye gol wali hui jo ki jada better look deti hai. Agar ₹150 me mile to mt lena utne layak nhi hai.,1
"Not charging as fast as I'd have expected. Maybe something wrong with my unit. However, the cable overall is actually pretty decent. The material is great, it doesn't bend out of shape very easily, and looks (and feels) premium. The length is definitely a plus!",3
Good,4
A sturdy cable for mobile charging.,5
"It's been 1 month that i am using this charging cable, works very well with S20 FE 5G. Thumbs up.",5
Braided cable is sturdy and built well. Long cable adds extra reach and is tangle free.,5
A good buy. The extra length helps a lot.,4
Good product,4
Ok,3
Buy it,5
Received in good condition and is working properly,4
"This price cabil not good,  and also short",1
I am using from 2 months and charging the phone in good way and it's really value for money.. i recommend this cable.,5
The cable is perfect for 3A charging devices . Support super fast charging and can be used in vehicle chargers and adapters. sturdy and durable for daily use,5
Best cable i have ever used by amazon .worth it . Guys just take it,5
Good Quality.but over priced,4
It's a good data cable and I recommend it to purchase,4
the only issue was the metal pin is not fixed firmly so it has become loose,3
otherwise no issue,3
must purchase,5
Charging cable which is sturdy it's not a fast charging cable but the three outlets does the job.,4
Good sturdy micro usb cable with good charging speeds. Please don't raise prices,4
"Nice product, a simpla microusb cable",4
Best for this price,5
Good one,4
It's a good product.,4
Like,5
Very good item strong and useful USB cableValue for moneyThanks to amazon and producer,5
Good,4
Nice product and useful product,4
-,4
Sturdy but does not support 33w charging,3
Good budget mfi certified lightly cable for this price . Update usage review after 3 to 5 months .,4
Better than the original one in matter of robustness and durability. Better in prospect of charging . It is far better in durability from the original apple wire. Do not think more you can buy blindly worth to buy and it is mfi certified so you IOS device not damaged. But small negative point is packaging quality of the product.,4
The charger is a great carry on accessory while travelling without risking the original charger.Price is also very affordable and charging speed is very good with good adaptor or power bank.,5
"Good product , can recommend all , only thing I see as issue is the material",4
", the cable threads peels off when stick to a Velcro materials. Other wise good product, charges very well like original",4
Nice,4
Reliable and worth it,5
The cable shipped in box made by Apple felt less sturdy and reliable after using one or two times and felt it would break more quickly at the lighting port and had to order Amazon basics cable which is miles better and apple MiFi certified,2
"It does the job really well. No complaints regarding the charging power. At a price of Rs. 199/-, it is worth every buck. Although this cable is a bit shorter than the original one, but the original OnePlus cable is around Rs.900/-. So there is a huge price difference, and it does the same job as the original one.",4
Useful for “c” type charging. But not suitable with all adapters or USB points. Serves the purpose.,3
Sturdily built. Does its job well. Charged my Samsung Galaxy M51 quicker than the original cable. Hope it stays the same going ahead.,5
Liked the charging speed disliked the length. On iPads this is awesome but it’s is not 6 foot long so this the only point to think otherwise it is the best cable,4
Good,4
Everything is good including connectivity and stuff,5
Nice product..im using this for my car,4
This product is nice and worth the amount...I recommend it to anyone who are looking for this kind of cable,5
"I am posting this after a few weeks of using the product.Usage: Continuous, OTT only, no Cable/Dish operator.Average daily usage: 6-8 hours.The TV is a great value-for-money product.Installation: The installation was simple and Amazon assisted installation was smooth, timely and hassle-free.Picture: The picture quality is not great when compared with the smoothness of a Sony, LG and Samsung with these kind of specs. Movies and especially hi-res TV series experience was somewhat diluted as most of the times, the output, while in hi-res , wouldn't look like a movie quality which we are used to of watching in the likes of Sony, Samsung LG etc however, with time, you get used to it and only realize the difference when you see the same movie at someone else's better TV.Sound: Sound output is decent. You wouldn't need additional support to enhance the volume as such.Remote: Sleek, sensitive and user-friendly. It's exactly like Amazon's remote.OS: Same as any smart Android TV. Works smoothly without much lags or hiccups. Switching apps from one to another takes a a couple of seconds more than Sony but unless you have used to of those performances, it looks just fine.Standalone and as your first smart TV,  you wouldn't find any reasons to not like the quality and it would like hi-res from the beginning. It is a great value for money product without a doubt.However, if you are considering this as an alternative or second TV after owning the better ones in the past, you will have a hard time adjusting with it.",3
"Picture quality is good for this price, didn’t faced any lag on UI and browsing other apps. Only negative will be audio, definitely need a sound bar if u are a frequent movie watcher. Overall worth for money u spend. But the installation process is just awful, Amazon claiming that a trained professional will visit for installation but neither they are trained nor professionals , just read the installation manuals and installed the wall mount which took 4hours for them to buy the wall mount after charging money. No demo given on Tv as they have no idea about the product, these things making to think twice or thrice to buy a tv through online.",3
